url,datum,zavod_nazev,misto_konani,gps_zavod,scraped_at
https://oris.orientacnisporty.cz/Zavod?id=9057,27.09.2025,Oblastní žebříček,Kunčice pod Ondřejníkem,"49.53729,18.28342",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8833,27.09.2025,Oblastní žebříček,Tužín,"50.466929195111,15.437550544739",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9097,27.09.2025,Oblastní žebříček,"louka u obce Krásná Studánka, GPS: 50.8140569N, 15.0202117E","50.814015880185,15.020542144775",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8992,27.09.2025,Oblastní žebříček,Ochoz u Brna,"49.250618029959,16.761918067932",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9043,27.09.2025,Oblastní žebříček,Plešice,"49.165500623537,16.039148567498",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9135,27.09.2025,Oblastní žebříček,Poteplí,"50.067111799631,14.075117111206",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9010,27.09.2025,Oblastní žebříček,"Stražisko, Růžov","49.544634687314,16.938707556962",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9155,27.09.2025,Oblastní žebříček,Kemp U HROCHA - Chrášťovice,"50.00942142685,13.369330134956",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9117,27.09.2025,Oblastní žebříček,Chroboly,"48.955093464829,14.056867262358",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9197,27.09.2025,Český pohár 18. kolo,Tužín,"50.46646481021,15.438108444214",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8834,28.09.2025,Oblastní žebříček,"Rtyně v Podkrkonoší, skautské centrum","50.500707787568,16.065831184387",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9156,28.09.2025,Oblastní žebříček,Kemp U HROCHA - Chrášťovice,"50.009683436567,13.369459470331",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9199,28.09.2025,Mistrovství ČR (DRUŽSTVA),Tužín,"50.46679261179,15.437679290771",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9118,28.09.2025,Oblastní žebříček,Prachatice,"49.008361132487,13.993663787842",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9136,28.09.2025,Oblastní žebříček,Mokrsko,"49.746030884915,14.339346904942",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9477,30.09.2025,Výběrové řízení na R1 (2026 - 2027),Ražení:,,2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9492,03.10.2025,"Srovnávací testy mládeže 1. termín, soustředění TSM MTBO",Brno,,2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8509,04.10.2025,Grant Thornton Mistrovství a Veteraniáda ČR štafet,Výšice,"49.452057117544,14.004650115967",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8510,05.10.2025,"Grant Thornton Mistrovství a Veteraniáda ČR klubů, Mistrovství ČR oblastních výběrů žactva",Výšice,"49.452336102579,14.004564285278",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9529,10.10.2025,Soustředění MTBO Akademie podzim 2025,Ražení:,,2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9058,11.10.2025,Oblastní žebříček,"Bolatice, rekreační areál SHD Borová","49.960524735704,18.108043670654",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9044,11.10.2025,Oblastní žebříček,Orlovská myslivna u obce Kejžlice,"49.581405217161,15.410385131836",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8835,11.10.2025,Oblastní žebříček,"Dvořisko, louka u rybníka Orličan","49.980426057391,16.195693016052",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8993,11.10.2025,Oblastní žebříček,Vacenovice,"48.93795,17.18087",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9011,11.10.2025,Oblastní žebříček,Ražení:,"49.956762985803,17.237790226936",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9098,11.10.2025,Oblastní žebříček,Letiště u obce Bynovec,"50.821539858299,14.269629438221",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9157,11.10.2025,Oblastní žebříček,Dobřív,"49.721149888189,13.701410310913",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9119,11.10.2025,Oblastní žebříček,Dub u Prachatic,"49.105075822691,14.015872478485",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9120,12.10.2025,Oblastní žebříček,Dub u Prachatic,"49.105033679343,14.015851020813",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9137,12.10.2025,Oblastní žebříček,Dobřív,"49.72098341717,13.701324462891",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9099,12.10.2025,Oblastní žebříček,Letiště u obce Bynovec,"50.821295856407,14.267764074158",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9121,18.10.2025,Oblastní žebříček,Vimperk,"49.058401223763,13.779687731245",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8994,18.10.2025,Oblastní žebříček,Slopné,"49.16641260824,17.841324806213",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8836,18.10.2025,Oblastní žebříček,"Špindlerův Mlýn, skiáreál Svatý Petr","50.720101587955,15.614275932312",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8976,18.10.2025,Oblastní žebříček,"Fryšava pod Žákovou horou, hřiště u Obecního rybníku","49.646235836432,16.040296554565",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9100,18.10.2025,Oblastní žebříček,"Alšovice, sokolovna","50.678,15.23098",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9138,18.10.2025,Oblastní žebříček,"Kamenice, osada Těptín","49.888980485911,14.565564393997",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9012,18.10.2025,Oblastní žebříček,Čechy pod Kosířem,"49.55022442316,17.034065723419",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9158,18.10.2025,Oblastní žebříček,Hotel Berghof,"50.369431441582,12.895933202892",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9122,19.10.2025,Oblastní žebříček,Vimperk,,2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9139,19.10.2025,Oblastní žebříček,Ražení:,"49.83228,13.80199",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9159,19.10.2025,Oblastní žebříček,Hotel Berghof,"50.369616208351,12.895492163954",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8982,19.10.2025,Oblastní žebříček,"obec Sázava, koupaliště","49.555131447312,15.876338481903",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9059,19.10.2025,Oblastní žebříček,Václavovice – fotbalové hřiště,"49.752609595277,18.373378526799",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8888,25.10.2025,GAPP Czech O-Tour 2025 - Krušné hory,"Lesná, Krušné hory","50.564676130782,13.430957759522",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9060,25.10.2025,Oblastní žebříček,Třinec- Kanada,"49.676855421680656,18.645472676774727",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9317,25.10.2025,YO!Camp 2025,"Ostružná, penzion Na mlýně","50.185025770316,17.052358396765",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8837,25.10.2025,Oblastní žebříček,Jahodov,"50.151193839037,16.332507133484",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=9013,25.10.2025,Oblastní žebříček,Sportpark Boskovice,"49.494779114491,16.680807362423",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8886,25.10.2025,GAPP Czech O-Tour 2025 - Krušné hory - E1,"Lesná, Krušné hory","50.564717020942,13.430957470629",2025-10-02 13:53:50
https://oris.orientacnisporty.cz/Zavod?id=8887,26.10.2025,GAPP Czech O-Tour 2025 - Krušné hory - E2,"Lesná, Krušné hory","50.564703390893,13.430979211417",2025-10-02 13:53:50
